term,estimate,std.error,statistic,p.value
(Intercept),3.5784902362695483,0.08456838046790549,42.31475424349198,1.5753676591860682e-42
studyweek,0.0011272906032050042,0.0037186592901083874,0.3031443634009684,0.7629665900921452
